Price,Built_Up,Furnishing,Tenure,carpark,classification
480000,1303,Fully Furnished,Leasehold,1,1
540000,1130,Fully Furnished,Freehold,1,1
600000,1948,Unfurnished,Freehold,2,1
600000,1331,Unfurnished,Freehold,1,0
1000000,1960,Semi Furnished,Freehold,2,1
360000,1080,Unfurnished,Freehold,2,1
469000,1650,Semi Furnished,Freehold,2,1
410000,1101,Semi Furnished,Freehold,1,1
650000,1260,Unfurnished,Freehold,2,1
310000,936,Fully Furnished,Freehold,1,1
1500000,3900,Semi Furnished,Freehold,2,1
600000,1800,Unfurnished,Freehold,2,1
670000,1210,Semi Furnished,Freehold,2,1
489000,1276,Fully Furnished,Freehold,1,1
670000,1600,Unfurnished,Freehold,2,1
570000,1545,Semi Furnished,Freehold,2,1
500000,1900,Semi Furnished,Freehold,2,1
360000,900,Unfurnished,Freehold,2,1
499000,1100,Fully Furnished,Freehold,1,1
1500000,2200,Semi Furnished,Freehold,2,1
375000,960,Unfurnished,Freehold,1,1
485000,832,Semi Furnished,Freehold,1,1
310000,900,Semi Furnished,Freehold,1,0
420000,1124,Unfurnished,Freehold,1,1
850000,1540,Semi Furnished,Freehold,2,1
285000,1100,Unfurnished,Leasehold,2,1
250000,645,Semi Furnished,Freehold,1,1
450000,1600,Unfurnished,Freehold,2,1
270000,710,Unfurnished,Freehold,1,1
930000,1500,Fully Furnished,Leasehold,1,1
1380000,2700,Semi Furnished,Freehold,2,1
245000,850,Semi Furnished,Leasehold,1,1
370000,1021,Semi Furnished,Freehold,1,1
650000,1700,Unfurnished,Freehold,2,1
528000,1300,Semi Furnished,Freehold,2,1
1700000,7000,Fully Furnished,Freehold,2,1
670000,953,Semi Furnished,Freehold,1,1
395000,1530,Semi Furnished,Freehold,2,1
660000,800,Fully Furnished,Freehold,1,1
1300000,2000,Semi Furnished,Freehold,2,1
170000,550,Unfurnished,Freehold,1,1
620000,1300,Semi Furnished,Freehold,1,1
493000,1161,Semi Furnished,Freehold,1,1
299000,630,Unfurnished,Freehold,2,1
350000,930,Unfurnished,Leasehold,1,1
570000,1087,Fully Furnished,Freehold,1,1
780000,1988,Unfurnished,Freehold,2,0
250000,1100,Fully Furnished,Freehold,1,1
530000,1300,Fully Furnished,Freehold,2,1
440000,969,Fully Furnished,Freehold,1,1
370000,865,Unfurnished,Leasehold,1,1
680000,2400,Unfurnished,Leasehold,2,1
590000,743,Fully Furnished,Freehold,1,1
396000,868,Semi Furnished,Leasehold,1,1
620000,2000,Semi Furnished,Freehold,2,1
1050000,1450,Fully Furnished,Freehold,1,0
699000,1558,Unfurnished,Freehold,1,1
1080000,1650,Unfurnished,Freehold,2,0
630000,2116,Semi Furnished,Freehold,2,1
1000000,1333,Fully Furnished,Freehold,1,1
360000,1100,Semi Furnished,Freehold,2,1
1198000,2940,Semi Furnished,Freehold,2,1
400000,1000,Unfurnished,Freehold,1,1
520000,1000,Semi Furnished,Freehold,1,1
1134000,2357,Unfurnished,Freehold,1,1
450000,1230,Unfurnished,Freehold,2,1
790000,1045,Unfurnished,Freehold,1,1
235000,680,Semi Furnished,Freehold,1,1
347000,830,Semi Furnished,Freehold,1,1
135000,750,Unfurnished,Freehold,1,1
800000,1345,Unfurnished,Freehold,1,1
765000,1102,Semi Furnished,Freehold,1,1
1200000,2800,Fully Furnished,Freehold,1,1
401000,1225,Unfurnished,Freehold,2,0
1800000,1614,Fully Furnished,Freehold,1,1
555000,1900,Unfurnished,Freehold,2,1
570000,1400,Unfurnished,Freehold,2,1
300000,960,Unfurnished,Freehold,1,0
750000,3164,Semi Furnished,Freehold,0,1
1150000,2600,Semi Furnished,Freehold,2,1
1600000,1442,Fully Furnished,Freehold,1,1
630000,1855,Unfurnished,Freehold,2,1
228000,800,Unfurnished,Freehold,1,1
385000,880,Unfurnished,Freehold,2,1
460000,770,Unfurnished,Freehold,2,1
175000,1540,Unfurnished,Leasehold,2,1
440000,1463,Unfurnished,Freehold,2,1
1950000,2347,Fully Furnished,Freehold,1,1
378000,956,Semi Furnished,Freehold,1,1
1280000,1582,Fully Furnished,Freehold,1,1
480000,1100,Fully Furnished,Freehold,1,1
1300000,2691,Unfurnished,Freehold,2,1
485000,1914,Semi Furnished,Freehold,2,1
230000,1440,Unfurnished,Leasehold,2,1
739000,1800,Semi Furnished,Freehold,2,1
385000,1280,Semi Furnished,Freehold,1,1
420000,1430,Semi Furnished,Freehold,2,1
326000,1500,Unfurnished,Freehold,2,1
400000,1200,Unfurnished,Freehold,2,1
380000,870,Unfurnished,Leasehold,1,1
950000,1129,Fully Furnished,Freehold,1,1
675000,1430,Semi Furnished,Freehold,2,1
400000,830,Semi Furnished,Freehold,1,1
