Price,Tenure,Property_Type,Built_Up,Furnishing,Bedroom,Bathroom,Area,classification
340000,0,9,927,1,2,2,14,0
598000,0,9,940,2,3,2,14,0
450000,0,9,1000,0,3,2,10,0
570000,0,6,1540,2,4,3,13,0
860000,0,4,1238,1,3,2,14,0
445000,0,6,2448,1,4,3,9,0
360000,0,6,2100,2,3,2,13,0
660000,1,9,814,1,2,2,14,0
370000,1,9,1127,1,3,2,13,0
235000,0,3,1000,2,3,2,13,0
630000,0,6,2408,2,4,3,10,0
145000,1,3,600,1,2,1,13,0
460000,0,6,1800,2,4,3,13,0
395000,0,6,1170,1,4,3,13,0
560000,0,9,1100,0,3,2,10,0
795000,0,7,1800,1,4,3,13,0
460000,0,9,935,0,3,2,14,1
199000,0,9,735,1,3,2,9,0
520000,0,6,1800,2,4,3,13,0
670000,0,10,1722,1,4,3,13,0
468825,0,9,658,1,2,2,14,0
985000,0,10,2349,1,4,4,13,0
1880000,0,9,2535,0,4,3,14,0
330000,0,6,1300,1,3,2,13,0
590000,0,9,1276,1,3,2,13,0
430000,0,9,926,1,3,2,14,0
810000,0,6,3100,2,5,4,13,0
495000,0,9,1245,0,4,2,13,0
180000,0,3,650,1,3,2,10,0
150000,0,3,650,2,3,2,13,0
1000000,0,9,1150,1,2,2,14,1
498000,0,6,2000,1,4,4,9,0
420000,0,9,1088,0,3,2,13,0
330000,0,3,1008,0,3,2,13,0
917230,0,9,721,1,2,1,14,0
620000,0,9,1019,0,3,2,14,0
735000,1,7,1778,2,4,3,13,0
199000,0,9,735,1,3,2,13,0
940000,0,9,1800,0,4,4,13,0
900000,0,6,1870,1,3,3,13,0
645000,0,6,1600,2,4,3,13,0
580000,0,6,1600,2,4,3,13,0
570000,0,6,2000,1,5,4,11,0
750000,0,12,2566,2,5,4,9,0
388000,0,9,637,0,2,1,13,0
377800,0,9,850,2,3,2,14,0
535000,0,6,1801,1,4,3,11,0
470000,1,10,1800,1,4,3,13,0
930000,0,12,2900,1,5,4,14,0
850000,0,10,1976,1,4,3,13,0
758000,0,6,1800,1,4,3,13,0
290000,0,6,1000,1,3,2,13,0
306888,0,9,926,1,3,2,13,0
600000,0,9,610000,0,2,2,14,0
380000,1,6,600,2,3,1,13,0
778800,0,4,708,0,2,2,14,0
620000,0,6,1600,1,4,3,13,0
538000,0,2,1862,1,3,3,13,0
510000,0,9,1175,1,3,2,14,0
500000,0,4,601,2,3,2,14,0
350000,0,9,700,0,3,4,10,0
350000,0,4,985,1,3,2,13,0
450000,0,9,850,2,3,2,14,0
970000,0,6,3311,2,4,3,13,1
350000,0,3,800,0,3,2,10,0
280000,0,3,900,1,3,2,13,0
518000,1,9,979,0,3,2,13,1
620000,0,6,1900,1,4,3,13,0
1000000,0,9,1428,0,3,3,14,0
720000,0,6,1200,1,4,3,13,0
520000,0,6,1230,1,3,2,13,0
690000,0,9,990,1,2,2,14,0
665000,0,6,1500,1,4,3,13,0
600000,0,8,2143,2,4,3,13,0
580000,0,9,935,0,3,2,14,0
537900,0,9,1090,1,3,2,14,0
370000,1,6,1400,2,4,3,13,0
800000,1,9,1816,1,4,3,13,0
950000,0,9,797,0,2,1,14,0
568000,0,9,1257,0,3,2,14,0
650000,0,6,2161,2,4,4,9,0
700000,0,9,1441,1,4,3,13,0
950000,0,6,3850,1,4,3,13,0
430000,0,9,820,0,3,2,14,0
360000,0,12,1505,2,4,3,0,0
388000,0,6,1650,1,5,3,13,0
472500,0,6,2128,2,4,3,13,0
723120,0,9,1236,1,4,2,14,0
880000,0,6,2278,2,4,3,13,0
385000,0,4,650,2,2,2,14,0
516000,0,6,1061,2,4,3,13,0
620000,1,9,1231,2,4,3,14,0
330000,0,6,1345,2,3,2,13,0
458000,0,5,1400,1,4,2,10,0
235000,0,6,900,2,2,1,13,0
450000,0,9,1147,1,3,2,13,0
725000,0,9,1037,1,3,2,13,0
595000,0,9,1655,1,3,2,14,0
233000,0,3,715,1,3,2,13,0
220000,0,3,650,2,3,2,10,0
415000,0,6,1840,1,3,2,13,0
408000,0,6,1200,1,4,3,13,0
372000,0,10,2380,1,4,3,9,1
1113600,0,9,800,0,3,2,3,0
1290000,0,13,2771,2,4,3,13,0
778800,0,4,708,0,2,2,14,0
900000,0,6,2240,2,5,4,11,0
418000,0,9,1308,1,4,3,13,0
220000,0,3,820,2,3,2,13,0
260000,0,9,925,2,3,2,13,0
240000,0,3,827,2,3,2,14,1
700000,0,6,2740,2,5,4,13,0
400000,0,6,1000,0,4,3,13,0
498000,0,6,1750,2,4,3,13,0
300000,0,6,1800,2,4,2,13,0
320000,0,9,950,1,3,2,13,0
568000,1,9,1635,0,3,3,11,0
320000,0,3,860,2,3,2,13,0
1008000,0,4,1001,1,2,2,14,0
800000,1,6,1700,1,4,3,14,0
700000,0,6,1860,2,4,3,13,0
375000,0,3,750,2,3,2,10,0
375000,0,6,1302,2,4,3,13,0
390000,1,6,1200,1,3,2,13,0
470000,1,9,1210,1,3,3,13,0
420000,0,2,1450,2,3,3,13,0
275000,0,3,790,2,3,2,13,0
510000,0,5,1720,1,4,3,13,0
800000,0,9,1570,0,3,3,14,0
1150000,0,9,2372,0,2,2,14,0
428000,0,6,1470,1,3,2,14,0
290000,0,3,1050,1,3,2,13,0
1050000,0,9,2390,0,5,4,10,0
730000,0,6,1344,1,4,3,13,0
1080000,0,9,1333,1,3,2,14,0
908000,0,6,2000,1,5,4,13,0
428000,0,9,887,1,3,2,10,0
250000,0,3,890,1,3,2,13,0
420000,0,9,1004,1,3,2,14,0
1620000,0,9,2159,0,4,3,14,0
620000,0,6,1300,1,4,3,13,0
400000,0,6,1054,1,3,2,13,0
470000,0,4,1345,1,4,2,13,0
225000,0,3,675,2,3,2,13,0
575000,0,9,1198,1,3,2,13,0
838000,0,2,1400,1,4,4,13,0
185000,0,3,656,2,3,2,13,0
300000,0,4,829,2,3,2,14,0
435000,1,6,1312,2,4,3,13,0
265000,0,3,1080,1,3,2,13,0
240000,0,9,970,1,3,2,13,0
125000,0,3,650,2,3,2,13,0
900000,0,6,1400,0,4,3,13,0
320000,0,9,709,2,2,2,13,0
800000,0,9,1238,0,3,2,14,0
1180000,0,6,1800,2,4,3,13,0
460000,0,6,1800,1,4,3,13,1
1760000,0,4,891,0,2,2,14,0
580000,0,6,1756,1,4,3,13,0
330000,0,3,813,2,3,2,13,0
398000,0,9,1038,2,3,2,13,0
600000,0,4,1180,1,3,2,13,0
315000,0,3,736,1,3,2,13,0
350000,1,9,743,0,3,2,13,0
425000,0,10,1025,1,4,2,13,0
453000,0,12,1773,2,5,3,13,0
298000,0,9,800,0,3,2,14,0
340000,0,9,1033,2,3,2,14,0
1050000,0,6,1500,2,3,2,14,0
668000,0,6,1540,1,4,3,11,0
450000,0,9,1110,2,3,2,13,0
150000,0,3,753,2,3,2,13,1
347000,0,6,825,2,4,2,13,0
550000,0,12,1500,1,3,2,10,0
740000,0,9,1515,1,4,2,14,0
283000,0,3,870,2,3,2,13,0
200000,0,3,742,2,3,2,13,0
570000,0,9,1218,1,4,2,13,0
1150000,0,9,1823,0,4,3,14,0
500000,0,9,960,0,3,2,14,0
450000,0,9,935,0,3,2,13,0
140000,0,3,660,2,3,2,13,1
447000,0,9,735,2,2,2,14,0
970000,1,6,1650,2,5,3,14,0
628000,0,6,1540,0,4,3,13,0
639000,0,10,2015,2,4,3,13,0
330000,0,6,950,2,3,2,13,0
