Price,Built_Up,Furnishing,Tenure,carpark,classification
340000,1008,1,0,1,1
399000,1000,1,0,2,1
165000,517,2,0,1,1
950000,1900,2,0,2,1
470000,1170,1,0,2,1
1400000,1200,0,0,1,1
510000,1272,1,0,1,1
370000,1000,2,1,2,1
306000,886,2,0,2,1
740000,1760,2,0,2,1
338000,2141,2,0,2,1
329800,689,2,0,1,1
300000,1400,1,0,2,1
480000,1800,1,0,2,1
300000,1500,2,1,2,1
450000,775,0,0,1,1
658000,1400,1,0,2,1
600000,947,0,0,1,1
830000,1227,0,0,1,1
350000,1001,1,0,1,1
1050000,1450,0,0,1,0
448634,1283,2,0,2,1
650000,1315,1,0,1,0
708000,2600,1,0,2,1
1230000,1200,0,0,1,1
530000,1165,1,0,1,1
930000,1500,0,1,1,1
600000,2215,1,0,2,1
680000,1247,2,0,2,1
380000,877,1,0,1,1
525000,1200,2,0,1,1
1050000,1450,0,0,1,0
255000,950,2,0,1,0
1099000,2056,1,0,2,1
570000,1500,1,0,2,1
778800,708,0,0,1,1
1050000,2500,1,0,2,1
1780000,5000,1,0,0,1
545000,1800,1,0,2,1
290000,915,1,0,1,1
100000,650,2,0,1,1
1750000,1600,1,0,2,1
500000,1800,1,0,2,1
350000,800,0,1,0,1
620000,2116,2,0,2,1
585000,1575,1,0,2,1
359000,2000,2,1,2,1
830000,643,0,0,1,1
405000,1097,1,0,1,1
639000,1600,1,0,1,1
455000,943,0,1,1,1
1290000,6000,2,0,0,1
619999,1196,1,0,1,1
450000,1007,1,0,1,1
955000,1569,1,0,1,1
890000,2100,1,0,2,1
655900,1059,1,0,1,1
575000,1800,1,0,2,1
485000,1400,1,0,2,1
500000,1016,2,0,1,1
740000,1168,2,0,1,1
330000,971,2,0,1,1
200000,850,1,0,1,1
1250000,3500,1,0,2,1
600000,3000,2,1,2,1
265000,1540,2,0,2,1
288000,818,0,0,1,1
1270000,1733,1,0,1,1
650000,1394,1,0,1,1
630000,2530,1,0,2,1
185000,650,2,1,1,1
250000,850,2,0,1,1
625000,1300,0,0,1,1
550000,1700,2,0,2,1
800000,1526,2,0,2,1
499000,1267,0,0,1,1
235000,750,2,0,1,1
610000,1196,1,0,1,1
268000,872,2,0,1,0
540000,2000,1,0,2,1
310000,911,2,0,1,1
450000,1100,2,0,2,1
245000,816,1,0,1,1
500000,1900,2,0,2,1
927000,2699,2,0,1,1
698000,1100,2,0,1,1
590000,1976,1,0,2,1
210000,910,2,0,1,1
550000,836,1,0,1,1
190000,650,2,0,1,0
1100000,917,1,0,1,1
638000,947,0,0,1,1
340000,927,1,0,1,1
598000,940,2,0,1,1
450000,1000,0,0,1,1
570000,1540,2,0,2,1
860000,1238,1,0,1,1
445000,2448,1,0,2,1
360000,2100,2,0,2,1
660000,814,1,1,1,1
370000,1127,1,1,1,1
235000,1000,2,0,1,1
630000,2408,2,0,2,1
145000,600,1,1,1,1
460000,1800,2,0,2,1
395000,1170,1,0,2,1
560000,1100,0,0,1,1
795000,1800,1,0,1,1
460000,935,0,0,1,0
199000,735,1,0,1,1
520000,1800,2,0,2,1
670000,1722,1,0,2,1
468825,658,1,0,1,1
985000,2349,1,0,2,1
1880000,2535,0,0,1,1
330000,1300,1,0,2,1
590000,1276,1,0,1,1
430000,926,1,0,1,1
810000,3100,2,0,2,1
495000,1245,0,0,1,1
180000,650,1,0,1,1
150000,650,2,0,1,1
1000000,1150,1,0,1,0
498000,2000,1,0,2,1
420000,1088,0,0,1,1
330000,1008,0,0,1,1
917230,721,1,0,1,1
620000,1019,0,0,1,1
735000,1778,2,1,1,1
199000,735,1,0,1,1
940000,1800,0,0,1,1
900000,1870,1,0,2,1
645000,1600,2,0,2,1
580000,1600,2,0,2,1
570000,2000,1,0,2,1
750000,2566,2,0,2,1
388000,637,0,0,1,1
377800,850,2,0,1,1
535000,1801,1,0,2,1
470000,1800,1,1,2,1
930000,2900,1,0,2,1
850000,1976,1,0,2,1
758000,1800,1,0,2,1
290000,1000,1,0,2,1
306888,926,1,0,1,1
600000,610000,0,0,1,1
380000,600,2,1,2,1
778800,708,0,0,1,1
620000,1600,1,0,2,1
538000,1862,1,0,2,1
510000,1175,1,0,1,1
500000,601,2,0,1,1
350000,700,0,0,1,1
350000,985,1,0,1,1
450000,850,2,0,1,1
970000,3311,2,0,2,0
350000,800,0,0,1,1
280000,900,1,0,1,1
518000,979,0,1,1,0
620000,1900,1,0,2,1
1000000,1428,0,0,1,1
720000,1200,1,0,2,1
520000,1230,1,0,2,1
690000,990,1,0,1,1
665000,1500,1,0,2,1
600000,2143,2,0,2,1
580000,935,0,0,1,1
537900,1090,1,0,1,1
370000,1400,2,1,2,1
800000,1816,1,1,1,1
950000,797,0,0,1,1
568000,1257,0,0,1,1
650000,2161,2,0,2,1
700000,1441,1,0,1,1
950000,3850,1,0,2,1
430000,820,0,0,1,1
360000,1505,2,0,2,1
388000,1650,1,0,2,1
472500,2128,2,0,2,1
723120,1236,1,0,1,1
880000,2278,2,0,2,1
385000,650,2,0,1,1
516000,1061,2,0,2,1
620000,1231,2,1,1,1
330000,1345,2,0,2,1
458000,1400,1,0,1,1
235000,900,2,0,2,1
450000,1147,1,0,1,1
725000,1037,1,0,1,1
595000,1655,1,0,1,1
233000,715,1,0,1,1
220000,650,2,0,1,1
415000,1840,1,0,2,1
408000,1200,1,0,2,1
372000,2380,1,0,2,0
1113600,800,0,0,1,1
1290000,2771,2,0,3,1
778800,708,0,0,1,1
900000,2240,2,0,2,1
418000,1308,1,0,1,1
220000,820,2,0,1,1
260000,925,2,0,1,1
240000,827,2,0,1,0
700000,2740,2,0,2,1
400000,1000,0,0,2,1
498000,1750,2,0,2,1
300000,1800,2,0,2,1
320000,950,1,0,1,1
568000,1635,0,1,1,1
320000,860,2,0,1,1
1008000,1001,1,0,1,1
800000,1700,1,1,2,1
700000,1860,2,0,2,1
375000,750,2,0,1,1
375000,1302,2,0,2,1
390000,1200,1,1,2,1
470000,1210,1,1,1,1
420000,1450,2,0,2,1
275000,790,2,0,1,1
510000,1720,1,0,1,1
800000,1570,0,0,1,1
1150000,2372,0,0,1,1
428000,1470,1,0,2,1
290000,1050,1,0,1,1
1050000,2390,0,0,1,1
730000,1344,1,0,2,1
1080000,1333,1,0,1,1
908000,2000,1,0,2,1
428000,887,1,0,1,1
250000,890,1,0,1,1
420000,1004,1,0,1,1
1620000,2159,0,0,1,1
620000,1300,1,0,2,1
400000,1054,1,0,2,1
470000,1345,1,0,1,1
225000,675,2,0,1,1
575000,1198,1,0,1,1
838000,1400,1,0,2,1
185000,656,2,0,1,1
300000,829,2,0,1,1
435000,1312,2,1,2,1
265000,1080,1,0,1,1
240000,970,1,0,1,1
125000,650,2,0,1,1
900000,1400,0,0,2,1
320000,709,2,0,1,1
800000,1238,0,0,1,1
1180000,1800,2,0,2,1
460000,1800,1,0,2,0
1760000,891,0,0,1,1
580000,1756,1,0,2,1
330000,813,2,0,1,1
398000,1038,2,0,1,1
600000,1180,1,0,1,1
315000,736,1,0,1,1
350000,743,0,1,1,1
425000,1025,1,0,2,1
453000,1773,2,0,2,1
298000,800,0,0,1,1
340000,1033,2,0,1,1
1050000,1500,2,0,2,1
668000,1540,1,0,2,1
450000,1110,2,0,1,1
150000,753,2,0,1,0
347000,825,2,0,2,1
550000,1500,1,0,2,1
740000,1515,1,0,1,1
283000,870,2,0,1,1
200000,742,2,0,1,1
570000,1218,1,0,1,1
1150000,1823,0,0,1,1
500000,960,0,0,1,1
450000,935,0,0,1,1
140000,660,2,0,1,0
447000,735,2,0,1,1
970000,1650,2,1,2,1
628000,1540,0,0,2,1
639000,2015,2,0,2,1
330000,950,2,0,2,1
500000,1730,1,0,2,1
1100000,2100,1,0,1,1
290000,875,1,0,1,0
270000,1016,2,1,2,1
680000,2000,1,0,2,1
215000,673,2,0,1,1
1710000,1694,2,0,0,1
142000,655,1,0,1,1
530000,1520,2,0,2,1
195000,680,1,0,1,1
380000,1400,1,0,2,0
260000,680,0,0,1,1
720000,1208,0,0,1,1
935000,1342,2,0,1,0
450000,1754,2,0,2,1
380000,928,1,0,1,1
350000,900,1,0,1,1
470000,775,1,0,1,1
490000,1313,2,0,1,1
330000,855,1,0,1,1
580000,2143,2,0,2,1
1300000,781,0,0,1,1
320000,970,1,0,1,1
890000,2890,1,0,2,1
1250000,1385,0,0,1,1
688000,968,0,0,1,1
725000,1173,2,0,1,1
545000,1400,2,0,2,1
190000,850,1,0,1,1
675000,1570,0,0,2,1
563888,2766,2,0,2,1
460000,887,0,0,1,1
430000,1024,2,0,1,0
560000,1152,0,0,1,1
279000,956,1,0,1,0
160000,600,2,0,1,1
630000,1378,2,0,1,1
580000,610,0,0,1,1
600000,900,2,0,1,1
560000,1184,1,0,1,1
715000,800,1,0,1,1
295000,936,1,0,1,1
675000,940,2,1,1,1
280000,650,1,0,1,1
881000,884,1,0,1,1
260000,850,1,0,1,1
175000,1400,2,1,2,1
590000,1007,1,0,1,1
1400000,3300,1,0,0,1
248000,926,1,1,1,1
370000,865,2,1,1,1
1949000,2038,0,0,1,1
580000,1258,1,0,1,1
500000,1845,2,1,2,1
1550000,1838,1,1,1,1
820000,1470,1,0,1,1
340000,1440,2,0,2,1
970000,2500,1,0,2,1
680000,1244,2,0,1,1
370000,729,0,0,1,1
350000,900,2,0,1,1
460000,2120,2,0,2,1
420000,1492,2,0,2,1
600000,1153,1,0,1,1
280000,1100,1,0,1,1
330000,850,1,0,1,1
605000,1521,2,0,2,1
449000,1033,0,1,1,1
365000,764,2,0,1,1
340000,865,1,0,1,1
1120000,1313,0,0,1,1
900000,980,2,0,1,1
488888,1350,0,0,1,1
670000,1677,2,0,2,1
510000,1600,1,0,2,1
1390000,3000,2,0,2,1
1300000,1735,0,0,1,1
499000,600,1,0,1,1
575000,1315,0,0,1,1
215000,780,2,0,1,1
289000,852,0,0,1,1
290000,1210,1,0,2,1
370000,1724,2,0,2,1
325000,947,2,1,1,1
830000,2270,2,0,2,1
385000,1075,0,0,1,1
329000,850,1,0,1,1
340000,950,2,1,1,1
998000,1400,1,0,2,1
1050000,2000,2,0,2,1
1450000,1565,1,0,1,1
650000,986,0,0,1,1
465000,1429,2,0,1,1
199000,735,1,0,1,1
528000,1400,0,0,2,1
780000,1200,0,0,1,0
480000,1082,1,0,1,1
730000,2000,1,0,2,1
300000,810,2,1,1,1
120000,692,0,0,1,1
908000,1600,1,1,1,1
310000,770,1,0,1,1
470000,950,2,0,1,1
565000,1650,1,0,2,1
1950000,1851,0,0,1,1
295000,953,1,0,1,1
356000,1270,2,0,1,0
780000,3672,2,0,2,1
660000,1271,1,0,1,1
675000,1600,2,0,2,1
359000,1650,2,0,2,1
710000,2250,1,0,2,1
435000,900,1,0,1,1
930000,2436,1,0,1,1
750000,1424,0,1,1,1
300000,833,1,0,1,1
285000,741,0,0,1,1
735000,1650,2,0,1,1
530000,1320,2,0,2,1
499000,1205,2,0,1,1
220000,775,2,0,1,1
225000,889,2,0,1,0
270000,800,2,0,1,1
420000,878,2,0,1,1
538000,1650,2,0,2,1
460000,1980,1,0,2,1
580000,1960,1,0,2,1
500000,1075,2,0,1,1
188000,850,2,0,1,1
600000,1680,1,0,2,1
539000,915,2,0,1,1
680000,1313,1,0,1,1
930000,1500,0,1,1,1
330000,850,2,0,1,1
425000,900,2,0,1,1
455000,689,1,0,1,1
539000,1680,1,0,2,1
800000,2200,2,0,2,1
1050000,1733,1,0,1,0
896088,2133,2,0,2,1
495000,878,1,0,1,1
440000,1193,0,0,1,1
350000,1300,1,0,2,1
1588000,1832,0,0,1,1
950000,1535,1,0,1,1
848000,1905,1,0,2,0
300000,527,2,0,1,1
